stars,comment
"5,0 su 5 stelle","







  
  
    Ho iniziato da poco la lettura di questo libro e nonostante alle scuole abbia sempre fatto francese, devo dire che il metodo usato è efficace, scorrevole e soprattutto divertente, il che contribuisce notevolmente all'apprendimento.Ottime anche le guide audio scaricabili gratis dal sito.Insomma, consigliatissimo
  
"
"5,0 su 5 stelle","







  
  
    Semplice intuitivo e molto ben fatto. Assolutamente indispensabile scaricare dal sito indicato la guida audio delle singole lezioni con pronuncia, simpatico e divertente ascoltare e pronunciare. Consigliatissimo!!
  
"
"5,0 su 5 stelle","







  
  
    Ottimo acquisto
  
"
"3,0 su 5 stelle","







  
  
    Semplice esattamente come da descrizione e pubblicità.  Aiuta ad avvicinarsi alla lingua inglese più a livello pratico che accademico. Arrivato nei tempi.
  
"
"5,0 su 5 stelle","







  
  
    Ho comprato questo libro per il mio ragazzo, il quale vuole disperatamente imparare l'inglese ma non è molto portato per le lingue. Dal suo giudizio mi pare una grammatica valida, che insegna la pronuncia e dà consigli pratici e utili sull'inglese parlato tutti i giorni. Inoltre, mi sembra il mio compagno studi volentieri l'inglese da questo sussidio, dal momento che l'autore pone numerosi esempi divertenti. In questo modo, da un lato avvicina gli studenti alla materia e dall'altro fa in modo che ciò che viene insegnato rimanga impresso nella  memoria. L'unica pecca è che ci sono pochi esercizi. Pensare ad un eserciziario, Mr Sloan??
  
"
"5,0 su 5 stelle","







  
  
    Davvero un buon libro fatto benissimo con i dialoghi scaricabili dal portale della Mondadori.Peter Sloan è divertente e simpatico e ti fa entrare nella lingua inglese passo passo non annoiandoti mai e corregendo tutti gli errori tipici di noi italiani. Secondo me da 10 e lode.
  
"
"5,0 su 5 stelle","







  
  
    Buon libro per ripassare l'inglese o per chi è agli inizi. Il metodo non è tradizionale ma risulta efficace e facilmente comprensibile.
  
"
"4,0 su 5 stelle","







  
  
    E' un ottimo libro per iniziare a comprendere la lingua inglese, ma non copre completamente la grammatica. Utile per chi vuole iniziare a comunicare in lingua inglese.
  
"
"5,0 su 5 stelle","







  
  
    Ottimo e divertente per imparare  l'inglese
  
"
"5,0 su 5 stelle","







  
  
    Sicuramente è un libro ben fatto che ti fa divertire mentre impari l'inglese e accompagnato da lezioni audio per la pronuncia diventa ancora più semplice, ma per quanto possa essere efficace non sostituirà mai un corso di inglese con insegnante come è anche evidente dalla differenza dei costi
  
"
"5,0 su 5 stelle","







  
  
    Libro ottimo per iniziare con l'inglese. Buone tecniche per imparare. Ovviamente il livello è basso. Anche il prezzo è molto buono.
  
"
"4,0 su 5 stelle","







  
  
    E' un libro molto utile e di facile comprensione e studio.Adatto a tutti, anche a chi non sa niente d'inglese.Impari l'inglese divertendoti.
  
"
"5,0 su 5 stelle","







  
  
    english zeroè un ottimo libro per imparare la lingua inglese in modo divertente e semplicelo consiglio a tutte quelle persone che devono partire da zero con un altra lingua.
  
"
"5,0 su 5 stelle","







  
  
    Un modo veramente divertente e facile per imparare l'inglese. Grazie al metodo di John Peter sto imparando molto, in particolare sulla pronuncia.
  
"
"3,0 su 5 stelle","







  
  
    Il libro è ottimo per iniziare ad imparare la lingua solo che sulla copertina c’è scritto il prezzo di 15€ ed io l’ho pagato 24 nonostante Prime.
  
"
"5,0 su 5 stelle","







  
  
    Imparare l'inglese in modo semplice o semplicemente rinfrescarlo con un ripasso divertente ed interessante e ricco di curiosità.Consigliato a tutti coloro che decidono di intraprendere la strada autodidatta.
  
"
"5,0 su 5 stelle","







  
  
    Che posso dire, grazie a questo libro John mi ha spalancato le porte al meraviglioso mondo inglese, senza di lui questa lingua, per me, sarebbe stata sempre noiosa e difficile.Ottimo lavoro quindi.
  
"
"5,0 su 5 stelle","







  
  
    L'ho regalato a mio fratello per il suo compleanno.Non sapeva niente di inglese e sembra che funzioni.Ottimo prodotto, supportato soprattutto dalla parte audio scaricabile dal sito.
  
"
"5,0 su 5 stelle","







  
  
    come tutti i libri di john P.Sloan ,un vero aiuto x cavarsela in ogni situazione con la lingua inglese anche se ne sai sero
  
"
"1,0 su 5 stelle","







  
  
    Normale
  
"
